0	60	64	77	98	56	56	57	81	36	92	73	79	47	25	50	38	46	58	84	80	39	27	75	63	37	64	44	55	80	86	
75	0	95	86	28	45	66	65	72	71	82	47	60	73	79	92	35	49	47	32	52	51	81	74	30	48	29	96	39	78	81	
57	22	0	75	54	83	52	60	40	35	71	31	78	89	85	99	41	52	28	47	27	23	77	63	69	33	73	88	77	47	77	
75	84	42	0	30	57	39	33	57	68	24	35	68	42	64	78	61	88	58	83	35	31	24	31	33	23	55	21	70	64	81	
28	64	87	71	0	22	96	37	79	98	97	34	50	36	83	83	58	88	50	93	24	37	23	58	65	93	83	34	23	41	63	
65	55	26	49	30	0	27	90	58	21	49	94	26	83	47	89	51	80	78	96	99	46	48	67	30	34	39	39	44	23	78	
59	22	35	98	89	38	0	59	49	50	34	67	89	35	90	95	43	37	69	74	53	69	83	23	76	44	83	73	85	93	29	
30	65	93	62	82	39	51	0	43	79	26	99	64	53	72	62	68	49	69	58	31	96	90	73	48	45	24	39	49	67	22	
34	47	39	83	73	45	70	67	0	100	76	83	62	66	96	26	55	55	63	57	84	89	75	53	20	78	98	63	91	98	79	
87	24	76	33	65	56	49	82	48	0	94	67	83	21	28	46	70	87	34	84	97	23	77	85	94	45	22	28	50	40	40	
46	93	75	92	78	56	21	51	95	93	0	48	21	28	58	97	28	91	27	48	33	65	42	45	33	58	66	50	57	87	86	
57	33	27	100	45	37	55	66	93	48	70	0	22	64	32	41	93	38	76	76	71	96	53	85	70	26	81	47	88	37	42	
22	47	35	40	22	55	54	47	73	64	77	59	0	49	90	55	92	60	52	74	32	71	36	80	51	25	57	43	88	32	21	
22	52	60	43	37	63	29	54	41	65	78	49	38	0	99	45	79	47	36	35	65	86	46	92	52	51	85	82	73	77	91	
32	46	51	52	66	33	36	73	23	66	83	66	71	62	0	95	98	72	24	91	81	30	80	61	54	27	87	80	88	29	73	
94	21	60	27	57	59	33	67	95	31	96	92	26	49	60	0	22	68	81	72	33	88	63	38	75	87	98	73	76	27	60	
20	98	66	85	93	30	46	70	34	69	88	25	55	97	32	30	0	30	46	28	37	99	40	24	73	58	53	46	24	54	67	
49	40	51	90	86	49	71	47	74	27	22	43	91	92	85	50	83	0	68	98	81	66	58	43	72	82	59	36	53	45	85	
64	62	80	97	82	51	27	64	74	70	73	32	62	53	58	71	66	55	0	83	63	43	30	79	87	99	47	26	94	58	24	
74	34	66	46	64	100	100	65	25	72	27	97	25	99	96	65	92	31	35	0	29	55	63	60	65	62	96	42	75	82	98	
89	36	74	91	89	32	36	72	39	89	92	25	90	87	71	94	51	54	79	85	0	23	38	34	99	92	64	95	40	65	56	
41	72	50	38	37	73	32	46	70	82	49	96	75	54	74	92	83	93	48	41	81	0	48	80	87	66	54	60	52	28	72	
93	26	93	21	79	22	33	81	62	50	86	75	49	69	38	91	34	79	54	37	68	83	0	93	99	66	22	59	98	40	80	
78	54	93	32	59	61	79	67	30	73	52	51	72	42	36	24	100	71	52	27	33	48	35	0	28	70	78	38	85	65	33	
50	53	68	53	76	33	100	65	25	61	40	30	21	65	96	57	84	43	47	84	56	40	71	46	0	93	27	48	27	89	41	
93	97	24	65	63	57	45	64	69	49	38	22	60	48	21	22	87	83	47	94	21	47	53	68	33	0	26	82	88	50	91	
45	25	23	97	49	100	52	24	37	92	22	21	80	26	100	63	43	94	43	48	83	27	92	60	66	64	0	71	36	93	63	
90	47	67	31	28	20	50	81	63	43	30	58	93	87	70	84	79	65	30	73	99	94	74	80	95	43	88	0	74	73	91	
74	52	30	59	68	66	45	95	64	100	47	22	24	20	72	96	30	29	59	21	69	67	46	47	27	20	52	41	0	55	27	
98	29	96	23	34	84	37	90	71	61	57	26	28	46	71	72	54	27	73	78	99	53	34	76	87	35	24	22	53	0	72	
84	24	20	34	79	20	63	98	57	46	81	87	72	91	32	28	75	39	54	79	22	33	42	76	64	83	76	74	93	90	0	
